TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK
g_g011276,"테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람",2023-09-16,2023-09-17,시티투어;신규 여행지 발굴;지역 문화예술/공연/전시시설 관람
g_g011286,종교/성지 순례;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문,2023-09-09,2023-09-10,역사 유적지 방문;쇼핑;종교/성지 순례
g_g011291,쇼핑;드라마 촬영지 방문;SNS 인생샷 여행,2023-09-09,2023-09-10,드라마 촬영지 방문;인플루언서 따라하기 여행;쇼핑
g_g011292,쇼핑;Well-ness 여행;신규 여행지 발굴;등반 여행;시티투어,2023-09-19,2023-09-20,등반 여행;Well-ness 여행;SNS 인생샷 여행
g_g011295,"온천/스파;테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람",2023-09-06,2023-09-07,역사 유적지 방문;반려동물 동반 여행;신규 여행지 발굴
g_g011297,쇼핑;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;지역 축제/이벤트 참가,2023-09-03,2023-09-04,지역 축제/이벤트 참가;등반 여행;Well-ness 여행
g_g011299,"드라마 촬영지 방문;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람",2023-09-09,2023-09-10,SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람;역사 유적지 방문
g_g011300,쇼핑;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람,2023-09-03,2023-09-04,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;캠핑"
g_g011305,쇼핑;Well-ness 여행,2023-09-20,2023-09-21,"쇼핑;Well-ness 여행;테마파크, 놀이시설, 동/식물원 방문"
g_g011318,교육/체험 프로그램 참가;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;지역 문화예술/공연/전시시설 관람,2023-09-02,2023-09-03,지역 문화예술/공연/전시시설 관람;Well-ness 여행;신규 여행지 발굴
g_g011323,시티투어,2023-09-16,2023-09-17,"시티투어;테마파크, 놀이시설, 동/식물원 방문;교육/체험 프로그램 참가"
