TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000782,자녀,남자,~9세이하
g_g000782,배우자,남자,30대
g_g000785,연인,남자,40대
g_g000786,배우자,여자,40대
g_g000786,자녀,남자,~9세이하
g_g000786,자녀,남자,~9세이하
g_g000789,친구,남자,20대
g_g000790,배우자,남자,40대
g_g000790,자녀,남자,~9세이하
g_g000790,자녀,여자,~9세이하
g_g000790,자녀,남자,~9세이하
g_g000792,배우자,남자,40대
g_g000792,자녀,여자,~9세이하
g_g000792,부모,여자,70세이상
g_g000792,자녀,여자,~9세이하
g_g000792,부모,남자,70세이상
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000794,동료,여자,40대
g_g000796,친구,여자,20대
g_g000804,배우자,여자,40대
g_g000804,자녀,남자,~9세이하
g_g000804,자녀,남자,10대
g_g000807,자녀,남자,10대
g_g000807,배우자,여자,40대
g_g000807,자녀,여자,~9세이하
g_g000808,배우자,남자,50대
g_g000809,부모,여자,70세이상
g_g000812,부모,여자,50대
g_g000812,부모,남자,50대
g_g000815,자녀,여자,~9세이하
g_g000815,배우자,남자,40대
g_g000818,자녀,남자,~9세이하
g_g000818,배우자,남자,40대
g_g000818,자녀,남자,~9세이하
g_g000819,배우자,여자,40대
g_g000819,자녀,여자,~9세이하
g_g000819,자녀,남자,~9세이하
g_g000820,자녀,여자,10대
g_g000820,배우자,남자,40대
g_g000820,자녀,여자,10대
g_g000826,배우자,남자,30대
g_g000826,자녀,여자,~9세이하
g_g000826,자녀,여자,~9세이하
g_g000831,배우자,남자,40대
g_g000831,자녀,남자,~9세이하
g_g000831,자녀,남자,~9세이하
g_g000832,자녀,여자,10대
g_g000832,배우자,남자,40대
g_g000832,자녀,여자,~9세이하
g_g000834,배우자,남자,40대
g_g000834,자녀,남자,~9세이하
g_g000834,자녀,여자,~9세이하
g_g000842,배우자,남자,40대
g_g000842,자녀,여자,~9세이하
g_g000842,친구,여자,40대
g_g000842,기타,여자,~9세이하
g_g000842,자녀,남자,10대
g_g000842,친구,남자,40대
g_g000842,기타,남자,10대
g_g000859,배우자,남자,40대
g_g000859,자녀,남자,~9세이하
g_g000861,자녀,여자,~9세이하
g_g000861,부모,여자,60대
g_g000861,배우자,남자,40대
