TRAVEL_ID,KTX/SRT(고속열차),관광버스,기타,렌터카(승용/승합/버스 등등),배/선박,버스 + 지하철,새마을/무궁화열차,시내/마을버스,시외/고속버스,자가용(승용/승합/트럭 등등),자전거,지하철,캠핑카(자차 및 렌탈),택시,항공기,MAJOR_TRANSPORT,TOTAL_MVMN_WON
g_g000653,300000,0,0,130000,0,0,0,10000,0,0,0,0,0,0,0,['렌터카(승용/승합/버스 등등)'],440000
g_g000654,0,0,0,0,0,0,0,0,0,86060,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],86060
g_g000657,0,0,0,0,0,0,0,0,0,67600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],67600
g_g000658,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],80000
g_g000665,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],100000
g_g000670,0,0,0,0,0,0,0,0,0,57800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],57800
g_g000672,0,0,0,0,0,0,0,0,0,152800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],152800
g_g000678,0,0,0,0,0,0,0,0,0,62500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],62500
g_g000680,0,0,0,0,0,0,0,0,0,46000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],46000
g_g000681,0,0,0,0,0,0,0,0,0,49200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],49200
g_g000685,0,0,0,0,0,0,0,0,0,97100,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],97100
g_g000687,0,0,0,0,0,0,0,0,0,48600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],48600
g_g000688,0,0,0,0,0,0,0,0,0,2500,0,0,0,5900,0,"['자가용(승용/승합/트럭 등등)', '택시']",8400
g_g000695,81400,0,0,0,0,0,0,0,0,2000,0,2600,0,0,0,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)', '지하철']",86000
g_g000696,30800,0,0,0,0,0,0,0,0,0,0,6250,0,0,0,"['KTX/SRT(고속열차)', '지하철']",37050
g_g000697,0,0,0,0,7000,0,5200,4200,0,0,0,0,0,0,0,"['배/선박', '새마을/무궁화열차', '시내/마을버스']",16400
g_g000698,0,0,0,0,0,0,0,0,0,34800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],34800
g_g000699,0,0,0,0,0,0,0,0,0,77000,0,0,0,18360,0,['택시'],95360
g_g000701,63500,0,0,0,0,0,0,0,0,35800,0,0,0,13300,0,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)']",112600
g_g000702,0,0,0,0,0,0,0,0,0,78300,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],78300
g_g000703,198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['KTX/SRT(고속열차)'],198800
g_g000709,0,0,0,25000,0,0,0,0,47200,0,0,0,0,14300,0,"['렌터카(승용/승합/버스 등등)', '시외/고속버스', '택시']",86500
g_g000710,23000,0,0,0,0,0,17600,8800,0,0,0,0,0,0,0,"['KTX/SRT(고속열차)', '새마을/무궁화열차', '시내/마을버스']",49400
g_g000712,0,15000,0,0,0,0,0,0,0,0,0,2500,0,0,0,"['관광버스', '지하철']",17500
g_g000714,0,0,0,0,0,0,0,0,0,64940,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],64940
g_g000716,0,0,0,0,0,0,0,0,0,51100,0,2500,0,12000,0,['자가용(승용/승합/트럭 등등)'],65600
g_g000717,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],15000
g_g000719,0,0,0,0,0,0,0,0,0,68400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],68400
g_g000722,0,0,0,0,0,0,0,0,0,32600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],32600
g_g000726,0,0,0,0,0,30600,0,0,0,0,0,0,0,18500,0,['택시'],49100
g_g000727,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],77000
g_g000729,0,0,0,0,0,0,0,0,0,66900,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],66900
g_g000730,0,0,0,0,0,0,0,0,0,162000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],162000
g_g000732,0,0,0,0,0,0,0,0,0,95500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],95500
g_g000734,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000735,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],88000
g_g000742,0,0,0,0,0,0,0,2400,0,27309,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],29709
g_g000743,0,0,0,0,0,0,0,0,0,62600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],62600
g_g000747,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],67000
g_g000751,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000754,381800,0,0,248800,0,0,0,0,0,0,0,0,0,21000,0,['렌터카(승용/승합/버스 등등)'],651600
g_g000756,254300,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,"['KTX/SRT(고속열차)', '택시']",273800
g_g000758,0,0,0,0,7600,0,0,0,8400,0,0,0,0,5400,0,"['배/선박', '시외/고속버스', '택시']",21400
g_g000769,0,0,0,0,0,0,0,0,0,59700,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],59700
g_g000770,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],20000
g_g000773,0,0,59200,0,0,0,0,0,0,0,0,5000,0,8600,0,"['기타', '지하철', '택시']",72800
g_g000775,0,0,0,0,0,0,0,0,0,68200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],68200
g_g000776,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],10000
g_g000777,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],600
g_g000779,0,0,0,0,0,0,0,0,0,49000,0,0,0,15000,0,['자가용(승용/승합/트럭 등등)'],64000
g_g000781,0,0,0,0,0,0,0,0,0,101200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],101200
g_g000782,0,0,0,0,0,0,0,0,0,107600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],107600
g_g000784,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],45000
g_g000785,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],15000
g_g000786,0,0,0,0,0,0,0,0,0,43000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],43000
g_g000788,0,0,0,0,0,0,0,0,0,136940,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],136940
g_g000789,0,0,0,5451,0,0,22800,0,0,0,0,5800,0,22300,0,['새마을/무궁화열차'],56351
g_g000790,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000792,0,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],98000
g_g000794,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],10000
g_g000796,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],3000
g_g000804,0,0,0,0,0,0,0,0,0,81000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],81000
g_g000807,0,0,0,0,0,0,0,0,17500,117000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],134500
g_g000808,0,0,0,0,0,0,0,0,0,102400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],102400
g_g000809,0,0,0,0,0,0,0,0,0,55400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],55400
g_g000812,0,0,0,0,0,0,0,0,0,22600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],22600
g_g000815,0,0,0,0,0,0,0,0,0,18400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],18400
g_g000818,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000819,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],70000
g_g000820,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],45000
g_g000826,0,0,0,0,0,0,0,0,0,29000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],29000
g_g000831,0,0,0,0,0,0,0,0,0,137400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],137400
g_g000832,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],3800
g_g000834,0,0,0,0,0,0,0,0,0,34300,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],34300
g_g000836,0,0,0,0,0,0,0,0,41200,0,0,0,0,0,0,['시외/고속버스'],41200
g_g000842,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],130000
