TRAVEL_ID,MAJOR_ACTIVITY_TYPE
g_g001875,['단순 구경 / 산책 / 걷기']
g_g001876,['취식']
g_g001877,['휴식']
g_g001879,"['체험 활동 / 입장 및 관람', '취식']"
g_g001880,['취식']
g_g001881,['쇼핑 / 구매']
g_g001882,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001884,['쇼핑 / 구매']
g_g001888,['취식']
g_g001890,['취식']
g_g001891,['환승/경유']
g_g001895,['취식']
g_g001900,['취식']
g_g001913,['취식']
g_g001914,"['취식', '휴식']"
g_g001916,"['쇼핑 / 구매', '취식']"
g_g001920,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001928,['단순 구경 / 산책 / 걷기']
g_g001929,['취식']
g_g001932,['단순 구경 / 산책 / 걷기']
g_g001947,['취식']
g_g001954,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001963,['단순 구경 / 산책 / 걷기']
g_g001964,['취식']
g_g001965,['단순 구경 / 산책 / 걷기']
g_g001977,['취식']
g_g001981,['취식']
g_g001984,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001993,['취식']
g_g002014,['취식']
g_g002017,"['쇼핑 / 구매', '취식', '휴식']"
g_g002019,['취식']
g_g002028,['취식']
g_g002032,"['취식', '휴식']"
g_g002035,['취식']
g_g002037,['취식']
g_g002041,['단순 구경 / 산책 / 걷기']
g_g002046,"['단순 구경 / 산책 / 걷기', '취식']"
g_g002048,['취식']
g_g002056,['취식']
g_g002059,['휴식']
g_g002073,['단순 구경 / 산책 / 걷기']
g_g002075,['취식']
g_g002078,"['취식', '휴식']"
g_g002088,['취식']
g_g002089,['취식']
g_g002094,"['체험 활동 / 입장 및 관람', '취식']"
g_g002096,"['취식', '휴식']"
g_g002098,['단순 구경 / 산책 / 걷기']
g_g002104,['단순 구경 / 산책 / 걷기']
g_g002109,['체험 활동 / 입장 및 관람']
g_g002110,['취식']
g_g002120,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g002122,['취식']
g_g002127,['취식']
g_g002130,['쇼핑 / 구매']
g_g002134,['단순 구경 / 산책 / 걷기']
g_g002144,['취식']
g_g002148,['휴식']
g_g002151,['취식']
g_g002152,['단순 구경 / 산책 / 걷기']
g_g002154,['단순 구경 / 산책 / 걷기']
g_g002156,"['쇼핑 / 구매', '취식']"
g_g002159,['취식']
g_g002164,['취식']
g_g002169,"['기타 활동', '쇼핑 / 구매']"
g_g002176,['취식']
g_g002177,['취식']
g_g002178,['휴식']
g_g002189,['쇼핑 / 구매']
g_g002190,['체험 활동 / 입장 및 관람']
g_g002195,['취식']
g_g002202,"['취식', '환승/경유']"
g_g002207,"['취식', '휴식']"
g_g002212,"['단순 구경 / 산책 / 걷기', '취식']"
g_g002214,['취식']
g_g002219,['체험 활동 / 입장 및 관람']
g_g002220,['취식']
g_g002222,['취식']
g_g002223,['취식']
g_g002224,['취식']
g_g002230,['취식']
g_g002232,['취식']
g_g002233,['취식']
g_g002235,['취식']
g_g002238,['취식']
g_g002241,['취식']
g_g002242,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g002244,['쇼핑 / 구매']
g_g002245,['취식']
g_g002247,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g002255,['취식']
g_g002256,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g002258,"['취식', '휴식']"
g_g002262,['취식']
g_g002264,['취식']
g_g002271,['취식']
g_g002273,"['쇼핑 / 구매', '휴식']"
g_g002275,['단순 구경 / 산책 / 걷기']
g_g002412,['쇼핑 / 구매']
g_g002416,['취식']
g_g002417,['취식']
g_g002421,['취식']
g_g002429,['단순 구경 / 산책 / 걷기']
g_g002431,['취식']
g_g002436,['환승/경유']
g_g002438,"['체험 활동 / 입장 및 관람', '취식']"
g_g002440,['취식']
g_g002441,['취식']
g_g002445,['환승/경유']
g_g002446,['취식']
g_g002460,['쇼핑 / 구매']
g_g002465,['취식']
g_g002466,['체험 활동 / 입장 및 관람']
